SWBM_id	subws_ID	SWBM_LU	SWBM_IRR	MF_Area_m2	WATERSOURC	AWCcmprcm	Initial_fill_fraction	max_infil_rate	runoff_ISEG	WL_2_CP_Yr	ILR_Flag
216	1	1	999	51577.76535	5	0.182943986	0	3.04710995	3	0	FALSE
217	5	1	2	330150.5855	2	0.19745429	0.438658486	1.4086678	3	0	FALSE
218	6	1	2	141693.3043	2	0.174014642	0.363044163	0	3	2015	FALSE
219	1	1	2	50705.42409	2	0.34	0.674	0.314496	3	2008	FALSE
220	1	1	2	28182.74498	2	0.2	0.445825	1.1016	3	0	TRUE
221	7	1	2	55997.07025	3	0.342270442	0.676161221	0.515407537	3	0	FALSE
222	8	1	999	46481.90937	3	0.2	0.445825	1.1016	3	0	FALSE
223	1	1	2	90453.72936	2	0.391571742	0.716943972	0	3	0	FALSE
224	1	1	2	1838.912752	3	0.2	0.445825	2.4192	3	0	FALSE
225	5	1	2	75941.46732	2	0.277799376	0.503960815	0.50781722	3	2005	FALSE
226	1	1	2	136444.7892	2	0.179879284	0.233926326	3.5726577	3	1996	TRUE
227	1	1	2	240500.326	2	0.224501814	0.506298804	1.016953979	3	0	FALSE
228	6	1	2	14687.71669	2	0.175249222	0.367533729	0	3	0	FALSE
229	1	1	555	33138.14116	5	0.191562668	0	2.070062845	3	0	FALSE
230	3	1	2	190936.5061	2	0.4	0.7229	0.333504	3	0	FALSE
231	1	1	999	27236.62321	2	0.2	0.445825	1.1016	3	0	FALSE
232	5	1	1	300292.536	2	0.385325178	0.863660147	0.606626642	3	0	FALSE
233	1	1	2	64515.96384	3	0.196531892	0.436036101	1.102054806	3	0	FALSE
234	1	1	555	53828.39982	999	0.2	0	1.070768628	3	0	FALSE
235	1	1	2	29954.56633	2	0.2	0.311	1.1016	3	2006	FALSE
236	1	1	2	591644.261	2	0.338775292	0.59323984	0.321489822	3	1996	TRUE
237	1	1	2	177675.9366	2	0.340831004	0.674791898	0.314762889	3	0	TRUE
238	6	1	999	12363.53576	2	0.2	0.445825	1.1016	3	0	FALSE
239	6	1	2	65532.32954	2	0.327745248	0.661809748	0.38232523	3	0	FALSE
240	1	1	2	8658.023339	2	0.2	0.445825	1.1016	3	0	FALSE
241	1	1	2	25492.06589	5	0.19930278	0	1.089226974	3	0	FALSE
242	6	1	2	180149.5441	2	0.316822122	0.650159776	0	3	2015	FALSE
243	5	1	2	95312.63601	2	0.247281126	0.551780891	0.550044114	3	0	FALSE
244	1	1	555	40839.75697	5	0.188566022	0	2.328729329	3	0	FALSE
245	1	1	2	338223.2714	2	0.34	0.674	0.314496	3	2008	FALSE
246	3	1	2	10411.92461	2	0.363178064	0.694810687	0.32186929	3	0	FALSE
247	1	1	2	147864.006	2	0.34	0.674	0.314496	3	0	TRUE
248	3	1	2	22384.72919	2	0.4	0.7229	0.333504	3	0	TRUE
249	3	1	999	2256.106627	2	0.12	0.130525	10.901088	3	0	FALSE
250	1	1	2	3502.586152	2	0.128809894	0.163151287	9.751912521	3	2008	FALSE
251	6	1	2	100318.773	2	0.2	0.445825	1.1016	3	2015	FALSE
252	1	1	2	146213.1297	2	0.201796644	0.450750806	1.095276939	3	2008	FALSE
253	1	1	2	24574.31572	2	0.396897514	0.720740216	0.332632681	3	0	FALSE
254	1	1	2	28041.95741	2	0.387241066	0.713767274	0	29	0	TRUE
255	5	1	555	24033.91471	999	0.2	0	0.616896	29	0	FALSE
256	1	1	2	133804.0103	2	0.34	0.674	0.314496	3	0	FALSE
257	1	1	2	474.2095063	2	0.4	0.7229	0.333504	29	0	FALSE
258	5	1	2	161402.3809	2	0.195031438	0.293439871	0	29	2005	FALSE
259	1	1	2	240592.1886	2	0.199843702	0.445373055	1.101635267	29	0	FALSE
260	3	1	2	107512.1981	2	0.385487872	0.712473777	0.328814769	29	0	FALSE
261	7	1	2	104779.9191	3	0.312206874	0.644989002	0.666581592	29	0	FALSE
262	1	1	2	67735.84965	3	0.2	0.445825	1.1016	29	2015	TRUE
263	1	1	2	22832.43548	5	0.2	0	1.1016	3	0	FALSE
264	1	1	2	1922.973587	2	0.288817034	0.616237891	0.646872764	29	0	FALSE
265	1	1	555	6332.26336	2	0.173349648	0	1.091705217	29	0	FALSE
266	1	1	2	144898.6194	2	0.2	0.445825	1.1016	29	2015	FALSE
267	3	1	2	189.6625144	3	0.4	0.7229	0.364608	29	0	FALSE
268	5	1	2	287312.1701	3	0.272555672	0.593346669	2.39205002	3	2008	FALSE
269	6	1	2	67730.4009	2	0.338934274	0.672977086	0.321082023	3	0	FALSE
270	6	1	2	85302.89093	2	0.364140482	0.695610657	0.285565106	3	0	FALSE
271	5	1	2	521628.3609	2	0.338506574	0.592913153	0.449263953	3	2001	FALSE
272	5	1	2	5142.087669	2	0.205880792	0.461650643	0.616896	3	2008	FALSE
273	1	1	2	12530.33249	2	0.2	0.445825	1.1016	3	0	TRUE
274	6	1	555	14763.73541	2	0.12	0	10.901088	3	0	FALSE
275	1	1	2	8502.333619	2	0.2	0.445825	1.1016	3	0	FALSE
276	3	1	2	5383.780944	2	0.4	0.7229	0.333504	3	0	FALSE
277	1	1	999	4997.632596	5	0.2	0	0.951431052	3	0	FALSE
278	1	1	2	73512.58053	2	0.34	0.674	0.314496	3	0	FALSE
279	1	1	2	316878.3943	2	0.34	0.674	0.314496	29	0	FALSE
280	1	1	2	282408.6332	2	0.2	0.445825	1.1016	3	0	FALSE
281	1	5	999	65801.80293	5	0.2	0	1.094862191	3	0	TRUE
282	1	1	999	20248.38464	5	0.194700758	0	1.647883789	3	0	FALSE
283	1	1	2	160.4900814	2	0.2	0.311	1.1016	3	1996	FALSE
284	1	1	2	51323.32507	2	0.221118012	0.498738203	0.988551246	29	0	FALSE
285	1	1	2	55792.94462	2	0.33470179	0.668849127	0.319045773	3	0	FALSE
286	1	1	2	63576.05198	3	0.2	0.311	1.1016	29	2005	TRUE
287	5	1	2	249216.0415	2	0.209440434	0.470802118	0.983652893	3	0	FALSE
288	6	1	2	143240.6768	2	0.399529564	0.655095451	0.364204003	3	2005	FALSE
289	1	1	2	260239.6222	2	0.191651342	0.421677193	2.136719554	3	0	FALSE
290	1	1	999	46031.33035	5	0.168333994	0	5.031073183	3	0	FALSE
291	1	1	2	33136.05932	2	0.2	0.445825	1.1016	3	0	FALSE
292	4	1	999	27970.07071	3	0.4	0.7229	0.333504	3	0	FALSE
293	1	1	2	16915.09632	2	0.4	0.7229	0.333504	3	0	FALSE
294	1	1	2	146311.3613	2	0.34	0.674	0.314496	3	0	TRUE
295	1	1	2	88558.25835	2	0.34	0.674	0.314496	3	0	FALSE
296	3	1	2	51706.96154	2	0.4	0.7229	0.333504	3	0	FALSE
297	5	1	2	36699.44329	2	0.323370818	0.657233084	0.439361624	3	0	FALSE
298	1	1	2	5212.478537	2	0.2	0.445825	1.040858117	3	0	FALSE
299	1	1	2	96.54236657	2	0.2	0.445825	1.1016	3	0	FALSE
300	1	1	2	30929.32056	2	0.2	0.445825	1.1016	3	0	TRUE
301	1	1	2	992.1508315	2	0.39241199	0.717549431	0	3	0	FALSE
302	6	1	2	115.9352786	2	0.2	0.445825	1.1016	3	0	FALSE
303	3	1	1	18463.7476	3	0.4	0.8686625	0.364608	3	0	FALSE
304	5	1	2	142053.6686	2	0.251922464	0.452996522	0.913704081	3	2001	FALSE
305	1	1	999	11146.27925	999	0.22	0.496204545	0.379296	3	0	FALSE
306	5	1	2	292805.4796	2	0.167804404	0.339472616	0	3	0	FALSE
307	1	1	555	810800.9417	5	0.224504966	0	1.63417694	3	0	FALSE
308	1	1	2	244838.2634	2	0.4	0.6555	0.333504	29	2006	TRUE
309	1	1	2	634255.3437	2	0.388620824	0.714784136	0	3	2015	TRUE
310	3	1	2	2611.450439	2	0.4	0.7229	0.333504	3	0	FALSE
311	1	1	2	20564.76751	2	0.2	0.445825	1.1016	3	0	TRUE
312	1	1	2	107300.6697	2	0.201788948	0.450718441	1.092775289	3	0	FALSE
313	1	1	555	13304.46305	2	0.174873584	0	1.011421842	3	0	FALSE
314	4	1	2	142890.7463	2	0.393109114	0.649463446	0.331348538	3	2004	FALSE
315	1	1	2	243394.6152	2	0.2	0.445825	1.043599514	29	2008	FALSE
316	1	1	2	123266.9162	2	0.34	0.674	0.314496	3	0	FALSE
317	1	1	2	483357.7763	2	0.251725706	0.452575948	0	3	2001	TRUE
318	1	1	2	24942.9523	2	0.300910234	0.631666785	0.505391719	3	0	FALSE
319	5	1	2	11361.64392	2	0.2	0.445825	0.616896	3	0	FALSE
320	1	1	2	1147.468865	2	0.2	0.445825	1.1016	3	0	FALSE
321	1	1	2	1011.351082	2	0.189660556	0.41561093	0	3	0	FALSE
