Day Scott_River_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Wildcat_Avg_Flow_m3day Sugar_Avg_Flow_m3day McConaughy_Main_Avg_Flow_m3day McConaughy_Branch_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Clark_Avg_Flow_m3day Etna_Avg_Flow_m3day Heartstrand_Avg_Flow_m3day Shell_Avg_Flow_m3day Hamlin_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day McAdams_Avg_Flow_m3day Indian_Avg_Flow_m3day Rattlesnake_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day Sniktaw_Avg_Flow_m3day Patterson_North_Avg_Flow_m3day
1999-01-15 139837.96520723 134672.971525886 26302.8935671756 36081.8027633556 56129.0175189888 9925.51423826585 15207.2676696163 49864.8949486074 9559.84025060328 43862.0281524953 28308.1582067356 12520.2477171314 46197.85945745 9992.08889607346 6340.56377290613 25517.0157298545 41137.1775779781 266185.392992514 75051.206046062 43671.5357190195 17795.732462445 40162.1134656358 101833.001976316 8749.82939546574 12065.4087210749
1999-01-16 179939.513420089 157957.402090386 28729.267302999 39350.4454417105 63889.8244919089 10563.9903291591 16520.9832281551 55362.8567436871 11062.0136953232 59488.5570403948 31312.1289053417 14279.6151326744 51203.5449973198 12624.215931308 7510.27210680335 32987.5189496083 56118.8299479402 309471.254198797 80719.1174563934 46171.8355269515 18727.0987984782 46007.8977937611 125640.385131052 9264.62346933402 12983.8843432376
1999-01-17 216776.82281449 176528.234612881 27521.3759382901 39896.5240688129 64230.9735198978 9884.92468958582 16604.7280037413 57872.7784912936 11196.7188284695 77441.4954714806 31242.6947143149 14369.533388276 51106.9436256711 13334.7778001459 8670.24706575655 39157.2447616464 73136.9374825552 339491.879943322 82802.1845135624 46825.231838026 19049.7352525197 46270.7756580522 112811.299657493 9520.11209450221 13404.2350816063
1999-01-18 300098.8306821 235467.782848592 48351.5606832413 59438.8970161392 121510.135377188 20580.8933058641 23742.3784819979 75503.6233467001 21135.5639397543 140698.031571814 65692.2802048878 31929.1777066407 105071.216102028 30270.5852119513 15582.6466166237 72650.0051642021 148817.681603957 483993.758156093 121036.579077869 63691.979650216 26403.5384240692 79311.8712832767 223570.337593243 13036.1222218167 19420.157818503
1999-01-19 450678.299493408 261730.445997194 42141.6144882883 58807.9217565975 105420.117538741 16769.4599801184 25577.6623797142 83980.0575078774 18211.4769031647 182727.932827468 57813.9216462966 24780.9247792803 81976.7430450621 27986.7434246635 16399.2767744267 74731.6102719274 171586.816848751 558672.177318484 134829.635571987 70872.8226531292 28704.3065799385 70158.8449278956 174221.89170656 12431.6327949483 20493.255848832
1999-01-20 525131.912166033 278159.779315824 39484.0468321452 59856.7743884918 101835.785530833 16120.52523251 27211.9098424705 88021.8713513334 18463.5210024662 200005.598606801 63628.3623328568 26223.3427634758 87134.6781282783 32334.0628753592 18083.3939741152 79289.3629702975 185973.197709045 601804.300666549 143620.533621489 75761.3899901095 30696.8631604865 73567.5360970919 154717.398972024 13326.6779131845 22331.5959171827
1999-01-21 633754.584453856 299724.991908707 56551.3244963193 67814.5492205407 152157.53437322 25286.5417807508 35536.4343770622 103054.02763748 25823.2556376579 245971.503269519 105314.443802181 44508.5429509357 140233.633579792 46434.6184982857 20403.3438920216 99887.628661295 225115.628290647 738735.352960706 167466.05641125 89395.7433934282 36936.8252801925 103113.441811045 169846.346393682 16016.8228487789 28049.6159006208
1999-01-22 710755.096099659 294920.625421068 41379.0620270776 65130.1519550534 112479.688550298 15613.2803818277 34446.7728233813 105917.687827066 20310.905685615 243312.484900606 70290.5460493946 29597.5128852795 98115.6764421472 40982.7301227895 22905.3079213811 96359.9698751648 214427.371684164 782214.65915415 158702.864444766 90602.032785527 37300.0918092958 89949.7927109541 153957.390555215 15075.9758481596 28265.8095072488
1999-01-23 880348.963988542 343477.33997534 87897.8619676736 89307.8321017893 260938.730021178 46083.0826274547 57316.6874591401 135893.499346632 35758.8152578904 296159.714242589 187584.002552315 79301.6916163808 261327.186909633 88235.0944005078 40338.0257804888 128471.960607281 269663.280830429 918984.337603753 180097.878338503 141775.219822832 60727.7777533911 149427.644821086 195235.885434984 18555.7261519208 45926.5587561807
1999-01-24 1070896.8865803 322459.673962858 53554.328000735 80900.8635603498 142282.617004803 19413.258988314 52508.7088958765 138247.414734026 23772.8745430605 265915.596365354 88750.8906202768 35070.106828417 115660.027301074 59074.0750322656 34350.0535149296 111559.531950961 224413.442884835 941589.911550904 181142.639760255 133630.69871632 58126.4912908514 110848.31595067 164593.684448828 17477.7120556229 43657.6832399413
